title,urls,tags,description,renowned
Better Remedies,[https://www.instagram.com/betterremedies],,Natural remedies and health advice,no
Conor Harris,[https://www.instagram.com/conor_harris_],,Biomechanics,no
Dave Asprey,[https://www.instagram.com/dave.asprey/],,BioHacker,yes
Doc. Hussein Awada,[https://www.instagram.com/drhusseinawada],,"Medicina, conselhos de saúde",no
Dr. Alessandro de Loiola,[https://www.instagram.com/alessandro_l_loiola],,Médico brasileiro consagrado,no
Dr. Aseem Malhotra,[https://www.instagram.com/lifestylemedicinedoctor],,,no
Dr. Belisa,[https://instagram.com/drbelisa],,Breathing,yes
Dr. Gabrielle Lyon,[https://www.instagram.com/drgabriellelyon],,New generation of health science studies,yes
Dr. James Dinic,[https://www.instagram.com/drjamesdinic],,Evidence based nutrition,no
Dr. James Dinic,[https://www.instagram.com/drjamesdinic],,Nutrition,yes
Dr. James DiNicoloantonio,[https://linktr.ee/drjamesdinic|https://www.instagram.com/drjamesdinic],,Evidence based nutrition,no
Dr. Lair Ribeiro,[https://www.instagram.com/drlairribeiro],,World renowned doctor that never prescribed pharmaceuticals products,yes
Dr. Mark Ghalili,[https://www.instagram.com/drmarkghalili],,Decentralized Medicine,no
Dr. Mercola,[https://www.mercola.com/|https://www.instagram.com/drmercola],,,yes
Dr. Pinto Coelho,[https://www.instagram.com/doutor_pintocoelho],,Médico consagrado português,yes
Dr. Ratielle Machado,[https://www.instagram.com/dratiellemachado],,Decentralized medicine,yes
Emotional R,[https://www.instagram.com/emotionalreleases],,Emotional Root Health,yes
Found Consciousness,[https://www.instagram.com/foundconsciousness],,Azeem Ali - alternative remedies,no
Metabolic Mike,[https://www.instagram.com/metabolic_mike],,"Nutrition, exercise and immune science",no
Movability,[https://www.instagram.com/movability],,Unorthodox health approach,no
Musical Breath Work (Brooke),[https://www.instagram.com/musicalbreathwork],,Alternative physical health professional,yes
Musical Breathwork,[https://www.instagram.com/musicalbreathwork],,Alternative health,no
Neuron Powers,[https://www.instagram.com/neuron.powers],,Hub for self help interviews,no
O Pediatra PT,[https://www.instagram.com/opediatrapt],,Pediatra (ex-desportista de alta competição),yes
Simple Psichosomatics,[https://www.instagram.com/simple_psychosomatics],,New health/ Psichosomatics,no
Simple Psychosomatics,[https://www.instagram.com/simple_psychosomatics],,"Psychosomatics: social, psychological, behavioural affecting health",no
Stop Chasing Pain,[https://www.instagram.com/stopchasingpain],,Self care healing education,no
The Carnivore Bar,[https://www.instagram.com/thecarnivorebar],,Facts about food and health,no
The Primal Bod,[https://www.instagram.com/theprimalbod],,"Cellular biology, functional nutrition, and our ancestral DNA",yes
